Player,Nationality,Position,Age,Matches_Played,Games_Started,Minutes_Played,Ninety_Minutes_Played,Goals,Assists,Goals_Plus_Assists,Non_Penalty_Goals,Penalty_Kicks_Made,Penalty_Kicks_Attempted,Yellow_Cards,Red_Cards,Goals_Per_90,Assists_Per_90,Goals_Plus_Assists_Per_90,Non_Penalty_Goals_Per_90,Non_Penalty_Goals_Plus_Assists_Per_90,Matches,Season,Team,MP
Antonio Sivera,es ESP,GK,29-257,32.0,32,"2,880",32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Deportivo Alaves,32
Jonny Castro,es ESP,DF,32-053,31.0,31,"2,724",30.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Deportivo Alaves,31
Nahuel Tenaglia,ar ARG,DF,30-063,30.0,30,"2,699",30.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,2025-2026,Deportivo Alaves,30
Antonio Blanco,es ESP,MF,25-276,30.0,30,"2,570",28.6,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,0.04,0.07,0.11,0.04,0.11,Matches,2025-2026,Deportivo Alaves,30
Toni Martínez,es ESP,FW,28-299,31.0,26,"2,217",24.6,9.0,3.0,12.0,9.0,0.0,0.0,1.0,0.0,0.37,0.12,0.49,0.37,0.49,Matches,2025-2026,Deportivo Alaves,31
Pablo Ibáñez,es ESP,MF,27-217,31.0,24,"1,918",21.3,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.05,0.05,0.09,0.05,0.09,Matches,2025-2026,Deportivo Alaves,31
Carles Aleñá,es ESP,MF,28-110,32.0,22,"1,909",21.2,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.19,0.19,0.0,0.19,Matches,2025-2026,Deportivo Alaves,32
Lucas Boyé,ar ARG,FW,30-056,26.0,20,"1,863",20.7,11.0,1.0,12.0,8.0,3.0,3.0,4.0,1.0,0.53,0.05,0.58,0.39,0.43,Matches,2025-2026,Deportivo Alaves,26
Jon Pacheco,es ESP,DF,25-107,21.0,20,"1,725",19.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Deportivo Alaves,21
Victor Parada,es ESP,DF,24-021,24.0,19,"1,685",18.7,0.0,3.0,3.0,0.0,0.0,0.0,8.0,1.0,0.0,0.16,0.16,0.0,0.16,Matches,2025-2026,Deportivo Alaves,24
