Player,Nationality,Position,Age,Matches_Played,Minutes_Played,Minutes_Per_Match,Minutes_Percentage,Ninety_Minutes_Played,Games_Started,Minutes_Per_Start,Complete_Matches,Substitute_Appearances,Minutes_Per_Sub,Unused_Sub_Appearances,Points_Per_Match,Goals_Scored_On_Pitch,Goals_Allowed_On_Pitch,Plus_Minus,Plus_Minus_Per_90,On_Off_Per_90,Matches,Season,Team,MP
Antonio Sivera,es ESP,GK,29-257,32.0,"2,880",90.0,100.0,32.0,32,90.0,32,0,,0,1.03,36.0,48.0,-12.0,-0.37,,Matches,2025-2026,Deportivo Alaves,32
Jonny Castro,es ESP,DF,32-053,31.0,"2,724",88.0,94.6,30.3,31,88.0,27,0,,0,1.03,34.0,46.0,-12.0,-0.4,-0.4,Matches,2025-2026,Deportivo Alaves,31
Nahuel Tenaglia,ar ARG,DF,30-063,30.0,"2,699",90.0,93.7,30.0,30,90.0,29,0,,2,0.97,33.0,45.0,-12.0,-0.4,-0.4,Matches,2025-2026,Deportivo Alaves,30
Antonio Blanco,es ESP,MF,25-276,30.0,"2,570",86.0,89.2,28.6,30,86.0,22,0,,1,0.97,28.0,44.0,-16.0,-0.56,-1.72,Matches,2025-2026,Deportivo Alaves,30
Toni Martínez,es ESP,FW,28-299,31.0,"2,217",72.0,77.0,24.6,26,80.0,9,5,28.0,1,0.97,32.0,34.0,-2.0,-0.08,1.28,Matches,2025-2026,Deportivo Alaves,31
Pablo Ibáñez,es ESP,MF,27-217,31.0,"1,918",62.0,66.6,21.3,24,72.0,5,7,27.0,0,1.06,18.0,30.0,-12.0,-0.56,-0.56,Matches,2025-2026,Deportivo Alaves,31
Carles Aleñá,es ESP,MF,28-110,32.0,"1,909",60.0,66.3,21.2,22,74.0,4,10,28.0,0,1.03,22.0,31.0,-9.0,-0.42,-0.15,Matches,2025-2026,Deportivo Alaves,32
Lucas Boyé,ar ARG,FW,30-056,26.0,"1,863",72.0,64.7,20.7,20,84.0,15,6,30.0,0,1.12,24.0,31.0,-7.0,-0.34,0.1,Matches,2025-2026,Deportivo Alaves,26
Jon Pacheco,es ESP,DF,25-107,21.0,"1,725",82.0,59.9,19.2,20,85.0,17,1,16.0,7,1.05,17.0,29.0,-12.0,-0.63,-0.63,Matches,2025-2026,Deportivo Alaves,21
Victor Parada,es ESP,DF,24-021,24.0,"1,685",70.0,58.5,18.7,19,84.0,12,5,18.0,6,1.13,22.0,32.0,-10.0,-0.53,-0.38,Matches,2025-2026,Deportivo Alaves,24
Youssef Lekhedim,es ESP,"DF,MF",20-200,23.0,"1,266",55.0,44.0,14.1,13,83.0,7,10,19.0,7,1.08,19.0,21.0,-2.0,-0.14,0.42,Matches,2025-2026,Deportivo Alaves,23
Calebe,br BRA,MF,25-360,18.0,742,41.0,25.8,8.2,13,52.0,0,5,14.0,13,1.11,8.0,8.0,0.0,0.0,0.51,Matches,2025-2026,Deportivo Alaves,18
Denis Suárez,es ESP,MF,32-109,24.0,"1,124",47.0,39.0,12.5,12,71.0,0,12,23.0,2,0.92,16.0,18.0,-2.0,-0.16,0.35,Matches,2025-2026,Deportivo Alaves,24
Carlos Vicente,es ESP,MF,27-002,21.0,"1,258",60.0,43.7,14.0,11,79.0,6,10,39.0,0,1.05,12.0,19.0,-7.0,-0.5,-0.22,Matches,2025-2026,Deportivo Alaves,21
Jon Guridi,es ESP,"MF,FW",31-056,22.0,859,39.0,29.8,9.5,11,60.0,0,11,18.0,9,0.95,10.0,20.0,-10.0,-1.05,-0.96,Matches,2025-2026,Deportivo Alaves,22
