Player,Team,Season,Position,Age,Matches_Played,Minutes_Played,Goals,Assists,Overall_Rating
Antonio Sivera,Deportivo Alaves,2025-2026,GK,29-257,32.0,"2,880",0.0,0.0,42.6
Jonny Castro,Deportivo Alaves,2025-2026,DF,32-053,31.0,"2,724",0.0,0.0,41.9
Nahuel Tenaglia,Deportivo Alaves,2025-2026,DF,30-063,30.0,"2,699",1.0,0.0,45.0
Antonio Blanco,Deportivo Alaves,2025-2026,MF,25-276,30.0,"2,570",1.0,2.0,45.7
Toni Martínez,Deportivo Alaves,2025-2026,FW,28-299,31.0,"2,217",9.0,3.0,66.9
Pablo Ibáñez,Deportivo Alaves,2025-2026,MF,27-217,31.0,"1,918",1.0,1.0,45.2
Carles Aleñá,Deportivo Alaves,2025-2026,MF,28-110,32.0,"1,909",0.0,4.0,45.9
Lucas Boyé,Deportivo Alaves,2025-2026,FW,30-056,26.0,"1,863",11.0,1.0,65.3
Jon Pacheco,Deportivo Alaves,2025-2026,DF,25-107,21.0,"1,725",0.0,0.0,40.9
Victor Parada,Deportivo Alaves,2025-2026,DF,24-021,24.0,"1,685",0.0,3.0,43.1
Youssef Lekhedim,Deportivo Alaves,2025-2026,"DF,MF",20-200,23.0,"1,266",0.0,1.0,42.6
Calebe,Deportivo Alaves,2025-2026,MF,25-360,18.0,742,0.0,0.0,43.1
Denis Suárez,Deportivo Alaves,2025-2026,MF,32-109,24.0,"1,124",1.0,2.0,45.9
Carlos Vicente,Deportivo Alaves,2025-2026,MF,27-002,21.0,"1,258",5.0,0.0,51.8
Jon Guridi,Deportivo Alaves,2025-2026,"MF,FW",31-056,22.0,859,0.0,0.0,43.1
Abde Rebbach,Deportivo Alaves,2025-2026,"MF,DF",27-257,24.0,"1,002",1.0,1.0,45.2
Facundo Garcés,Deportivo Alaves,2025-2026,DF,26-232,10.0,793,0.0,0.0,43.1
Ángel Pérez,Deportivo Alaves,2025-2026,"MF,DF",23-239,10.0,758,1.0,1.0,43.1
Mariano,Deportivo Alaves,2025-2026,FW,32-267,10.0,288,0.0,0.0,43.1
Carlos Benavídez,Deportivo Alaves,2025-2026,DF,28-026,9.0,242,0.0,0.0,43.1
Moussa Diarra,Deportivo Alaves,2025-2026,DF,25-166,3.0,216,0.0,0.0,43.1
Ander Guevara,Deportivo Alaves,2025-2026,MF,28-292,22.0,609,1.0,1.0,43.1
Ibrahim Diabaté,Deportivo Alaves,2025-2026,FW,26-159,4.0,201,1.0,0.0,43.1
Aitor Mañas,Deportivo Alaves,2025-2026,FW,23-110,6.0,71,0.0,0.0,43.1
Ville Koski,Deportivo Alaves,2025-2026,DF,24-088,2.0,12,0.0,0.0,43.1
Diego Morcillo,Deportivo Alaves,2025-2026,FW,22-311,1.0,10,0.0,0.0,43.1
Lander Pinillos,Deportivo Alaves,2025-2026,MF,22-201,1.0,2,0.0,0.0,43.1
Carlos Ballestero,Deportivo Alaves,2025-2026,DF,22-001,1.0,1,0.0,0.0,43.1
Raúl Fernández,Deportivo Alaves,2025-2026,GK,38-043,0.0,,,,43.1
Izei Hernandez,Deportivo Alaves,2025-2026,FW,19-082,0.0,,,,43.1
Nikola Maraš,Deportivo Alaves,2025-2026,DF,30-127,0.0,,,,43.1
Rubén Montero,Deportivo Alaves,2025-2026,GK,20-240,0.0,,,,43.1
Egoitz Muñoz,Deportivo Alaves,2025-2026,DF,21-114,0.0,,,,43.1
Xanet Olaiz,Deportivo Alaves,2025-2026,DF,20-311,0.0,,,,43.1
Paco Sanz,Deportivo Alaves,2025-2026,DF,21-161,0.0,,,,43.1
Grégoire Swiderski,Deportivo Alaves,2025-2026,GK,20-202,0.0,,,,43.1
Unai Simón,Athletic Club,2025-2026,GK,28-318,,"2,880",0.0,0.0,42.8
Mikel Jauregizar,Athletic Club,2025-2026,MF,22-163,,"2,514",2.0,0.0,45.7
Yuri Berchiche,Athletic Club,2025-2026,DF,36-074,,"2,373",0.0,4.0,45.9
Iñigo Ruiz de Galarreta,Athletic Club,2025-2026,MF,32-262,,"1,881",1.0,1.0,44.0
Daniel Vivian,Athletic Club,2025-2026,DF,26-284,,"2,294",1.0,0.0,42.6
Álex Berenguer,Athletic Club,2025-2026,MF,30-295,,"1,936",2.0,3.0,49.7
Gorka Guruzeta,Athletic Club,2025-2026,FW,29-225,,"1,911",8.0,1.0,59.8
Oihan Sancet,Athletic Club,2025-2026,MF,26-000,,"1,651",3.0,0.0,46.4
Iñaki Williams,Athletic Club,2025-2026,"MF,FW",31-314,,"1,751",2.0,4.0,50.2
Aymeric Laporte,Athletic Club,2025-2026,DF,31-333,,"1,743",0.0,1.0,43.5
Nico Williams,Athletic Club,2025-2026,MF,23-287,,"1,482",4.0,2.0,53.2
Aitor Paredes,Athletic Club,2025-2026,DF,25-361,,"1,450",1.0,0.0,44.5
Jesús Areso,Athletic Club,2025-2026,DF,26-297,,"1,418",0.0,1.0,43.3
Andoni Gorosabel,Athletic Club,2025-2026,DF,29-264,,953,0.0,1.0,43.1
Iñigo Lekue,Athletic Club,2025-2026,DF,32-356,,569,0.0,0.0,43.1
Roberto Navarro,Athletic Club,2025-2026,MF,24-013,,947,5.0,1.0,43.1
Alejandro Rego,Athletic Club,2025-2026,MF,22-318,,888,1.0,0.0,43.1
Unai Gómez,Athletic Club,2025-2026,"MF,FW",22-335,,627,1.0,1.0,43.1
Adama Boiro,Athletic Club,2025-2026,DF,23-307,,605,0.0,0.0,43.1
Nicolás Serrano,Athletic Club,2025-2026,MF,23-051,,344,1.0,0.0,43.1
Maroan Sannadi,Athletic Club,2025-2026,FW,25-083,,279,1.0,0.0,43.1
Selton Sánchez,Athletic Club,2025-2026,MF,19-064,,196,0.0,1.0,43.1
Yeray Álvarez,Athletic Club,2025-2026,DF,31-091,,153,0.0,0.0,43.1
Mikel Vesga,Athletic Club,2025-2026,MF,32-339,,418,0.0,0.0,43.1
Urko Izeta,Athletic Club,2025-2026,FW,26-208,,171,0.0,0.0,43.1
Beñat Prados,Athletic Club,2025-2026,MF,25-076,,85,0.0,0.0,43.1
Eder García,Athletic Club,2025-2026,FW,22-111,,38,0.0,0.0,43.1
Asier Hierro,Athletic Club,2025-2026,FW,20-354,,34,0.0,0.0,43.1
Alex Padilla,Athletic Club,2025-2026,GK,22-236,,,0.0,0.0,42.1
Endika Buján,Athletic Club,2025-2026,FW,23-099,,,,,43.1
Unai Eguíluz,Athletic Club,2025-2026,DF,24-037,,,,,43.1
Jon de Luis,Athletic Club,2025-2026,DF,22-263,,,,,43.1
Iker Monreal,Athletic Club,2025-2026,DF,20-296,,,,,43.1
Ibon Sánchez,Athletic Club,2025-2026,MF,22-048,,,,,43.1
Mikel Santos,Athletic Club,2025-2026,GK,21-175,,,,,43.1
Unai Vencedor Paris,Athletic Club,2025-2026,MF,25-161,,,,,43.1
Jan Oblak,Atletico Madrid,2025-2026,GK,33-108,,"2,430",0.0,0.0,43.1
Dávid Hancko,Atletico Madrid,2025-2026,DF,28-133,,"2,117",0.0,2.0,44.5
Giuliano Simeone,Atletico Madrid,2025-2026,MF,23-128,,"1,938",4.0,6.0,57.9
Julián Álvarez,Atletico Madrid,2025-2026,FW,26-084,,"1,895",8.0,4.0,63.4
Marcos Llorente,Atletico Madrid,2025-2026,DF,31-085,,"1,861",0.0,4.0,45.7
Koke,Atletico Madrid,2025-2026,MF,34-107,,"1,770",2.0,2.0,48.5
Pablo Barrios,Atletico Madrid,2025-2026,MF,22-314,,"1,604",1.0,1.0,46.4
Alexander Sørloth,Atletico Madrid,2025-2026,FW,30-141,,"1,680",10.0,0.0,64.8
Nicolás González,Atletico Madrid,2025-2026,"MF,DF",28-019,,"1,420",5.0,0.0,53.0
Alex Baena,Atletico Madrid,2025-2026,"MF,FW",24-279,,"1,282",2.0,2.0,48.7
Matteo Ruggeri,Atletico Madrid,2025-2026,DF,23-288,,"1,369",0.0,3.0,45.0
Robin Le Normand,Atletico Madrid,2025-2026,DF,29-165,,"1,468",1.0,1.0,45.7
Thiago Almada,Atletico Madrid,2025-2026,"MF,FW",24-364,,"1,119",3.0,1.0,49.9
Clément Lenglet,Atletico Madrid,2025-2026,DF,30-312,,"1,084",0.0,1.0,41.7
Nahuel Molina,Atletico Madrid,2025-2026,DF,28-019,,"1,182",2.0,1.0,47.8
José María Giménez,Atletico Madrid,2025-2026,DF,31-095,,"1,159",0.0,1.0,43.3
Johnny Cardoso,Atletico Madrid,2025-2026,MF,24-217,,854,0.0,0.0,43.1
Marc Pubill,Atletico Madrid,2025-2026,DF,22-309,,976,0.0,1.0,43.1
Antoine Griezmann,Atletico Madrid,2025-2026,FW,35-035,,"1,071",6.0,1.0,57.9
Rodrigo Mendoza,Atletico Madrid,2025-2026,MF,21-041,,345,0.0,1.0,43.1
Juan Musso,Atletico Madrid,2025-2026,GK,31-354,,450,0.0,0.0,43.1
Ademola Lookman,Atletico Madrid,2025-2026,"FW,MF",28-187,,355,2.0,0.0,43.1
Conor Gallagher,Atletico Madrid,2025-2026,MF,26-078,,679,2.0,0.0,43.1
Obed Vargas,Atletico Madrid,2025-2026,MF,20-263,,369,0.0,0.0,43.1
Julio Diaz,Atletico Madrid,2025-2026,DF,21-105,,220,0.0,1.0,43.1
Javier Boñar,Atletico Madrid,2025-2026,DF,20-326,,180,1.0,0.0,43.1
Giacomo Raspadori,Atletico Madrid,2025-2026,FW,26-066,,236,0.0,1.0,43.1
Javi Galán,Atletico Madrid,2025-2026,DF,31-157,,134,0.0,0.0,43.1
Daniel Martinez,Atletico Madrid,2025-2026,DF,21-355,,90,0.0,0.0,43.1
Rayane Belaid,Atletico Madrid,2025-2026,MF,21-073,,70,0.0,0.0,43.1
Javi Morcillo,Atletico Madrid,2025-2026,MF,20-041,,50,0.0,0.0,43.1
Jano Monserrate,Atletico Madrid,2025-2026,MF,20-087,,23,0.0,0.0,43.1
Taufik Seidu,Atletico Madrid,2025-2026,MF,18-095,,23,0.0,0.0,43.1
Miguel Cubo,Atletico Madrid,2025-2026,FW,18-076,,,,,43.1
Salvi Esquivel,Atletico Madrid,2025-2026,GK,20-207,,,,,43.1
Sergio Esteban,Atletico Madrid,2025-2026,FW,19-036,,,,,43.1
Ilias Kostis,Atletico Madrid,2025-2026,DF,23-057,,,,,43.1
Mario de Luis,Atletico Madrid,2025-2026,GK,23-324,,,,,43.1
Iker Luque,Atletico Madrid,2025-2026,DF,20-324,,,,,43.1
Carlos Martín,Atletico Madrid,2025-2026,"FW,MF",24-003,,,,,43.1
Alvaro Moreno,Atletico Madrid,2025-2026,GK,19-324,,,,,43.1
Aleksa Puric,Atletico Madrid,2025-2026,DF,22-292,,,,,43.1
